feature,target
plane_num454.png,1
moto_num931.png,2
moto_num241.png,2
plane_num1624.png,1
car_num1052.png,0
plane_num291.png,1
moto_num2299.png,2
car_num1022.png,0
car_num43.png,0
moto_num1393.png,2
car_num337.png,0
car_num1614.png,0
plane_num151.png,1
car_num831.png,0
plane_num140.png,1
plane_num850.png,1
plane_num799.png,1
moto_num502.png,2
plane_num410.png,1
car_num686.png,0
plane_num1272.png,1
moto_num1244.png,2
plane_num1570.png,1
moto_num271.png,2
moto_num2322.png,2
plane_num148.png,1
moto_num778.png,2
car_num1459.png,0
car_num1856.png,0
moto_num32.png,2
moto_num456.png,2
plane_num584.png,1
moto_num1200.png,2
car_num1821.png,0
plane_num1295.png,1
moto_num2345.png,2
moto_num639.png,2
car_num1002.png,0
moto_num2503.png,2
moto_num1583.png,2
moto_num1182.png,2
car_num1762.png,0
plane_num1072.png,1
plane_num206.png,1
moto_num1478.png,2
moto_num2444.png,2
moto_num1407.png,2
car_num1765.png,0
plane_num1500.png,1
plane_num1814.png,1
plane_num1044.png,1
car_num453.png,0
moto_num1797.png,2
moto_num700.png,2
moto_num867.png,2
car_num734.png,0
plane_num1926.png,1
moto_num895.png,2
car_num335.png,0
moto_num337.png,2
moto_num2281.png,2
moto_num1824.png,2
moto_num1259.png,2
moto_num153.png,2
plane_num235.png,1
plane_num339.png,1
plane_num709.png,1
moto_num2097.png,2
moto_num565.png,2
moto_num146.png,2
plane_num824.png,1
car_num1340.png,0
moto_num151.png,2
car_num1230.png,0
plane_num1167.png,1
car_num1364.png,0
plane_num403.png,1
plane_num1126.png,1
plane_num1259.png,1
moto_num2411.png,2
moto_num387.png,2
moto_num528.png,2
plane_num441.png,1
moto_num526.png,2
moto_num1460.png,2
plane_num327.png,1
moto_num2507.png,2
plane_num1491.png,1
plane_num1312.png,1
moto_num524.png,2
moto_num131.png,2
plane_num1268.png,1
car_num877.png,0
moto_num1666.png,2
moto_num801.png,2
moto_num334.png,2
car_num1441.png,0
car_num985.png,0
plane_num493.png,1
moto_num1722.png,2
moto_num969.png,2
car_num827.png,0
car_num625.png,0
moto_num1380.png,2
car_num1653.png,0
plane_num1107.png,1
moto_num1143.png,2
moto_num2173.png,2
car_num823.png,0
car_num528.png,0
car_num1930.png,0
plane_num266.png,1
moto_num905.png,2
plane_num1826.png,1
car_num1116.png,0
plane_num358.png,1
car_num604.png,0
moto_num868.png,2
car_num1068.png,0
plane_num1682.png,1
moto_num1869.png,2
plane_num1795.png,1
car_num1941.png,0
plane_num1265.png,1
moto_num2004.png,2
car_num1948.png,0
moto_num1371.png,2
car_num1312.png,0
plane_num714.png,1
moto_num1513.png,2
plane_num87.png,1
moto_num1074.png,2
plane_num962.png,1
moto_num924.png,2
moto_num2368.png,2
moto_num2120.png,2
plane_num539.png,1
car_num1987.png,0
moto_num2114.png,2
moto_num4.png,2
moto_num2067.png,2
moto_num1272.png,2
moto_num1295.png,2
plane_num1908.png,1
moto_num1784.png,2
moto_num485.png,2
moto_num1897.png,2
plane_num1787.png,1
car_num539.png,0
plane_num977.png,1
car_num1424.png,0
plane_num1239.png,1
plane_num1322.png,1
moto_num991.png,2
car_num172.png,0
plane_num744.png,1
car_num809.png,0
car_num1804.png,0
plane_num97.png,1
plane_num1250.png,1
moto_num1491.png,2
moto_num349.png,2
moto_num2477.png,2
moto_num2396.png,2
plane_num1421.png,1
plane_num75.png,1
moto_num424.png,2
car_num1044.png,0
plane_num790.png,1
moto_num1788.png,2
moto_num2211.png,2
plane_num959.png,1
car_num406.png,0
car_num413.png,0
moto_num2348.png,2
moto_num875.png,2
moto_num2153.png,2
car_num1619.png,0
car_num1168.png,0
moto_num754.png,2
moto_num1923.png,2
car_num1950.png,0
moto_num65.png,2
moto_num1634.png,2
moto_num1497.png,2
plane_num1618.png,1
car_num192.png,0
car_num567.png,0
car_num598.png,0
plane_num112.png,1
plane_num1484.png,1
car_num1844.png,0
plane_num111.png,1
plane_num1232.png,1
plane_num1221.png,1
moto_num1450.png,2
plane_num851.png,1
plane_num1451.png,1
plane_num848.png,1
car_num942.png,0
moto_num1749.png,2
car_num1339.png,0
plane_num578.png,1
moto_num926.png,2
moto_num2462.png,2
moto_num1962.png,2
plane_num251.png,1
car_num649.png,0
moto_num1508.png,2
moto_num2398.png,2
moto_num7.png,2
moto_num307.png,2
plane_num1607.png,1
moto_num338.png,2
car_num1050.png,0
moto_num1680.png,2
plane_num1031.png,1
moto_num795.png,2
car_num996.png,0
moto_num113.png,2
plane_num934.png,1
moto_num602.png,2
moto_num2080.png,2
plane_num1788.png,1
plane_num473.png,1
moto_num943.png,2
moto_num1972.png,2
moto_num2359.png,2
car_num1643.png,0
plane_num1973.png,1
moto_num1142.png,2
moto_num1110.png,2
plane_num889.png,1
plane_num845.png,1
moto_num1937.png,2
car_num1855.png,0
moto_num1095.png,2
car_num1444.png,0
car_num865.png,0
car_num1818.png,0
moto_num1226.png,2
car_num1908.png,0
moto_num2054.png,2
car_num1876.png,0
plane_num1533.png,1
moto_num1318.png,2
moto_num2056.png,2
moto_num13.png,2
plane_num1915.png,1
moto_num1297.png,2
car_num684.png,0
moto_num469.png,2
moto_num144.png,2
car_num142.png,0
moto_num1065.png,2
plane_num964.png,1
plane_num650.png,1
moto_num402.png,2
car_num1355.png,0
moto_num1542.png,2
car_num826.png,0
moto_num1001.png,2
car_num1081.png,0
moto_num978.png,2
plane_num1223.png,1
plane_num277.png,1
plane_num56.png,1
moto_num1975.png,2
car_num168.png,0
car_num346.png,0
plane_num1160.png,1
plane_num128.png,1
plane_num847.png,1
moto_num1776.png,2
car_num17.png,0
plane_num1644.png,1
car_num254.png,0
moto_num1595.png,2
moto_num945.png,2
car_num1735.png,0
plane_num1596.png,1
moto_num1623.png,2
car_num1677.png,0
car_num518.png,0
moto_num2294.png,2
plane_num226.png,1
car_num1095.png,0
moto_num2021.png,2
moto_num306.png,2
car_num1575.png,0
car_num449.png,0
moto_num331.png,2
plane_num1672.png,1
plane_num1612.png,1
plane_num855.png,1
car_num1433.png,0
car_num350.png,0
plane_num617.png,1
moto_num615.png,2
moto_num104.png,2
car_num363.png,0
plane_num1597.png,1
moto_num234.png,2
plane_num1179.png,1
moto_num1822.png,2
plane_num1200.png,1
moto_num433.png,2
moto_num1670.png,2
moto_num1872.png,2
plane_num1007.png,1
moto_num2095.png,2
plane_num1181.png,1
moto_num2091.png,2
moto_num2148.png,2
moto_num1948.png,2
moto_num1256.png,2
moto_num888.png,2
moto_num855.png,2
car_num657.png,0
car_num1210.png,0
car_num1040.png,0
car_num1476.png,0
moto_num2380.png,2
moto_num2516.png,2
plane_num1830.png,1
moto_num1572.png,2
car_num505.png,0
car_num786.png,0
car_num214.png,0
moto_num573.png,2
car_num1542.png,0
car_num79.png,0
moto_num1569.png,2
plane_num225.png,1
moto_num2509.png,2
car_num33.png,0
car_num1688.png,0
car_num138.png,0
car_num916.png,0
moto_num836.png,2
car_num651.png,0
moto_num330.png,2
plane_num1601.png,1
car_num800.png,0
plane_num285.png,1
moto_num1032.png,2
plane_num1919.png,1
moto_num2536.png,2
plane_num495.png,1
car_num1270.png,0
car_num1065.png,0
moto_num1914.png,2
plane_num542.png,1
plane_num241.png,1
plane_num773.png,1
plane_num1530.png,1
moto_num634.png,2
plane_num860.png,1
plane_num594.png,1
moto_num549.png,2
plane_num1709.png,1
plane_num86.png,1
moto_num1030.png,2
plane_num805.png,1
moto_num2026.png,2
plane_num938.png,1
moto_num553.png,2
moto_num883.png,2
car_num148.png,0
moto_num1035.png,2
moto_num2013.png,2
car_num430.png,0
car_num159.png,0
car_num1074.png,0
car_num1760.png,0
plane_num1817.png,1
plane_num193.png,1
car_num207.png,0
moto_num1886.png,2
moto_num1456.png,2
plane_num1345.png,1
car_num204.png,0
plane_num1356.png,1
plane_num976.png,1
car_num208.png,0
plane_num696.png,1
moto_num1333.png,2
plane_num820.png,1
moto_num649.png,2
plane_num753.png,1
plane_num53.png,1
car_num249.png,0
moto_num583.png,2
moto_num268.png,2
plane_num1966.png,1
moto_num580.png,2
plane_num1383.png,1
car_num439.png,0
car_num1264.png,0
moto_num1738.png,2
plane_num890.png,1
moto_num1220.png,2
car_num1662.png,0
moto_num1796.png,2
moto_num1873.png,2
moto_num1845.png,2
moto_num371.png,2
plane_num1891.png,1
plane_num1722.png,1
car_num1140.png,0
moto_num1354.png,2
plane_num759.png,1
car_num1447.png,0
plane_num1907.png,1
car_num120.png,0
plane_num135.png,1
plane_num1930.png,1
car_num524.png,0
moto_num897.png,2
moto_num2466.png,2
car_num1293.png,0
moto_num1422.png,2
moto_num1167.png,2
plane_num969.png,1
moto_num2417.png,2
plane_num905.png,1
plane_num465.png,1
car_num60.png,0
moto_num835.png,2
moto_num555.png,2
plane_num729.png,1
moto_num1778.png,2
car_num1110.png,0
plane_num1373.png,1
plane_num1941.png,1
plane_num795.png,1
plane_num1342.png,1
car_num1816.png,0
moto_num2137.png,2
moto_num2010.png,2
moto_num1144.png,2
car_num1101.png,0
car_num1091.png,0
car_num271.png,0
moto_num1470.png,2
moto_num1531.png,2
moto_num997.png,2
moto_num46.png,2
moto_num2254.png,2
moto_num756.png,2
car_num1574.png,0
moto_num1544.png,2
moto_num2059.png,2
car_num1010.png,0
plane_num1482.png,1
plane_num309.png,1
moto_num55.png,2
car_num1191.png,0
moto_num1008.png,2
moto_num383.png,2
plane_num721.png,1
car_num904.png,0
plane_num1586.png,1
car_num1918.png,0
plane_num505.png,1
car_num1485.png,0
moto_num517.png,2
car_num1803.png,0
moto_num1785.png,2
plane_num770.png,1
plane_num1807.png,1
car_num419.png,0
moto_num995.png,2
moto_num1927.png,2
car_num1928.png,0
car_num1164.png,0
plane_num1569.png,1
car_num1769.png,0
car_num158.png,0
moto_num1020.png,2
moto_num2247.png,2
plane_num1471.png,1
car_num1100.png,0
plane_num1282.png,1
moto_num1712.png,2
moto_num842.png,2
car_num1107.png,0
plane_num907.png,1
plane_num573.png,1
plane_num448.png,1
plane_num292.png,1
moto_num1919.png,2
car_num1402.png,0
moto_num757.png,2
plane_num242.png,1
car_num1059.png,0
car_num1234.png,0
car_num1703.png,0
moto_num802.png,2
car_num410.png,0
moto_num1155.png,2
plane_num1702.png,1
moto_num495.png,2
moto_num770.png,2
moto_num43.png,2
plane_num1699.png,1
moto_num1357.png,2
car_num1802.png,0
plane_num996.png,1
plane_num1514.png,1
moto_num1292.png,2
car_num1535.png,0
moto_num1602.png,2
car_num945.png,0
plane_num1576.png,1
plane_num1848.png,1
car_num958.png,0
car_num537.png,0
car_num1342.png,0
moto_num2257.png,2
plane_num1267.png,1
moto_num983.png,2
moto_num1062.png,2
plane_num1366.png,1
moto_num831.png,2
plane_num1646.png,1
plane_num1397.png,1
plane_num1075.png,1
plane_num1145.png,1
moto_num463.png,2
moto_num2176.png,2
car_num1479.png,0
car_num1879.png,0
car_num581.png,0
car_num1275.png,0
moto_num79.png,2
plane_num1718.png,1
moto_num1383.png,2
car_num1247.png,0
moto_num767.png,2
moto_num1253.png,2
moto_num817.png,2
moto_num1574.png,2
moto_num984.png,2
plane_num227.png,1
moto_num70.png,2
moto_num576.png,2
car_num1936.png,0
moto_num2479.png,2
moto_num844.png,2
plane_num1064.png,1
moto_num2188.png,2
car_num223.png,0
plane_num1961.png,1
moto_num1192.png,2
car_num61.png,0
plane_num951.png,1
car_num1493.png,0
moto_num2499.png,2
plane_num1284.png,1
moto_num1651.png,2
car_num484.png,0
car_num1201.png,0
plane_num1327.png,1
car_num738.png,0
moto_num887.png,2
car_num63.png,0
car_num1237.png,0
moto_num2085.png,2
moto_num819.png,2
plane_num455.png,1
plane_num1219.png,1
plane_num1642.png,1
car_num388.png,0
car_num1075.png,0
plane_num1867.png,1
car_num1333.png,0
plane_num1783.png,1
plane_num1553.png,1
moto_num1060.png,2
car_num931.png,0
plane_num1875.png,1
car_num188.png,0
car_num770.png,0
car_num54.png,0
car_num263.png,0
moto_num1979.png,2
car_num1896.png,0
car_num1159.png,0
plane_num1309.png,1
plane_num1686.png,1
moto_num1462.png,2
moto_num2190.png,2
moto_num1011.png,2
plane_num1386.png,1
moto_num1605.png,2
car_num1962.png,0
moto_num856.png,2
plane_num1577.png,1
moto_num445.png,2
moto_num818.png,2
plane_num1536.png,1
plane_num1700.png,1
plane_num1678.png,1
car_num866.png,0
moto_num487.png,2
car_num545.png,0
car_num1650.png,0
car_num343.png,0
plane_num1381.png,1
moto_num2504.png,2
moto_num694.png,2
car_num239.png,0
car_num52.png,0
car_num1785.png,0
plane_num676.png,1
plane_num424.png,1
moto_num586.png,2
plane_num1296.png,1
moto_num1641.png,2
car_num998.png,0
plane_num611.png,1
car_num1605.png,0
moto_num2326.png,2
car_num963.png,0
car_num902.png,0
moto_num1758.png,2
moto_num499.png,2
moto_num916.png,2
plane_num1890.png,1
moto_num2130.png,2
car_num1787.png,0
moto_num2305.png,2
car_num1104.png,0
car_num1119.png,0
plane_num854.png,1
plane_num1670.png,1
car_num1179.png,0
plane_num734.png,1
moto_num2005.png,2
moto_num165.png,2
plane_num1046.png,1
car_num1886.png,0
moto_num1755.png,2
moto_num1537.png,2
car_num1923.png,0
plane_num1217.png,1
car_num1656.png,0
moto_num977.png,2
plane_num332.png,1
car_num1629.png,0
plane_num281.png,1
moto_num999.png,2
plane_num1341.png,1
car_num248.png,0
moto_num1436.png,2
moto_num322.png,2
moto_num2041.png,2
car_num1353.png,0
moto_num1029.png,2
plane_num1306.png,1
car_num1692.png,0
plane_num39.png,1
car_num116.png,0
plane_num89.png,1
plane_num1868.png,1
moto_num1486.png,2
car_num1173.png,0
plane_num1605.png,1
plane_num474.png,1
plane_num1070.png,1
car_num798.png,0
car_num1316.png,0
car_num257.png,0
car_num177.png,0
moto_num1396.png,2
car_num435.png,0
car_num95.png,0
moto_num851.png,2
moto_num617.png,2
moto_num1068.png,2
car_num1578.png,0
moto_num34.png,2
car_num1263.png,0
moto_num238.png,2
car_num1015.png,0
plane_num1693.png,1
plane_num1727.png,1
moto_num1350.png,2
plane_num1572.png,1
car_num769.png,0
plane_num815.png,1
moto_num2274.png,2
car_num1327.png,0
car_num712.png,0
plane_num712.png,1
plane_num1369.png,1
moto_num678.png,2
car_num501.png,0
car_num1827.png,0
moto_num593.png,2
moto_num1580.png,2
moto_num732.png,2
car_num489.png,0
plane_num293.png,1
car_num1881.png,0
moto_num2246.png,2
plane_num1238.png,1
plane_num1809.png,1
plane_num742.png,1
moto_num667.png,2
moto_num12.png,2
moto_num2490.png,2
car_num941.png,0
moto_num223.png,2
plane_num1745.png,1
moto_num2232.png,2
car_num1188.png,0
plane_num1081.png,1
moto_num1617.png,2
car_num107.png,0
moto_num2422.png,2
plane_num822.png,1
moto_num2105.png,2
moto_num297.png,2
moto_num302.png,2
car_num818.png,0
moto_num578.png,2
car_num1250.png,0
moto_num1507.png,2
plane_num247.png,1
moto_num2340.png,2
car_num75.png,0
moto_num2381.png,2
plane_num361.png,1
moto_num1663.png,2
plane_num910.png,1
plane_num297.png,1
plane_num1133.png,1
car_num1117.png,0
moto_num2318.png,2
moto_num906.png,2
car_num1900.png,0
car_num25.png,0
moto_num435.png,2
moto_num1090.png,2
car_num691.png,0
plane_num1009.png,1
plane_num1888.png,1
moto_num1221.png,2
car_num1897.png,0
moto_num1534.png,2
car_num279.png,0
moto_num1203.png,2
car_num1805.png,0
car_num153.png,0
moto_num1431.png,2
plane_num346.png,1
car_num740.png,0
moto_num1527.png,2
moto_num676.png,2
plane_num853.png,1
plane_num1113.png,1
moto_num385.png,2
car_num201.png,0
moto_num1839.png,2
car_num179.png,0
plane_num636.png,1
moto_num542.png,2
moto_num597.png,2
car_num154.png,0
plane_num534.png,1
plane_num1842.png,1
car_num1254.png,0
moto_num1793.png,2
moto_num1093.png,2
plane_num733.png,1
car_num1302.png,0
plane_num378.png,1
plane_num1055.png,1
car_num446.png,0
plane_num202.png,1
plane_num1262.png,1
plane_num625.png,1
moto_num2186.png,2
car_num463.png,0
moto_num513.png,2
plane_num1527.png,1
car_num296.png,0
plane_num1923.png,1
moto_num1828.png,2
car_num140.png,0
moto_num1418.png,2
moto_num2119.png,2
car_num736.png,0
car_num369.png,0
moto_num356.png,2
moto_num1317.png,2
moto_num90.png,2
car_num1513.png,0
car_num938.png,0
car_num849.png,0
moto_num1050.png,2
moto_num1079.png,2
moto_num2379.png,2
plane_num172.png,1
car_num1225.png,0
moto_num1343.png,2
car_num1730.png,0
moto_num114.png,2
car_num1840.png,0
moto_num1533.png,2
plane_num1751.png,1
car_num1559.png,0
moto_num91.png,2
moto_num654.png,2
moto_num2356.png,2
plane_num325.png,1
plane_num479.png,1
car_num397.png,0
moto_num369.png,2
car_num515.png,0
moto_num335.png,2
plane_num995.png,1
plane_num1779.png,1
moto_num1474.png,2
plane_num259.png,1
plane_num1579.png,1
moto_num329.png,2
plane_num1789.png,1
car_num1547.png,0
moto_num2277.png,2
moto_num2437.png,2
plane_num738.png,1
car_num1349.png,0
car_num1009.png,0
moto_num2265.png,2
plane_num1314.png,1
plane_num1253.png,1
plane_num1683.png,1
car_num1211.png,0
car_num1557.png,0
moto_num2178.png,2
moto_num988.png,2
plane_num1489.png,1
moto_num1871.png,2
plane_num1093.png,1
plane_num694.png,1
car_num193.png,0
plane_num682.png,1
